y_real,y_predito,erro_absoluto,erro_percentual,categoria,causa_provavel
1.0,0.9907103036196524,0.0092896963803476,0.9289696380347601,Acerto Relevante,Padrao claro de evidencias e tamanho de texto consistente
1.0,0.9901481364217528,0.009851863578247189,0.9851863578247189,Acerto Relevante,Padrao claro de evidencias e tamanho de texto consistente
1.0,0.9900056279447825,0.00999437205521747,0.9994372055217471,Acerto Relevante,Padrao claro de evidencias e tamanho de texto consistente
1.0,0.9900022997213291,0.009997700278670862,0.9997700278670862,Acerto Relevante,Padrao claro de evidencias e tamanho de texto consistente
1.0,0.989975068802163,0.010024931197836984,1.0024931197836984,Acerto Relevante,Padrao claro de evidencias e tamanho de texto consistente
26.0,20.297640672504553,5.702359327495447,21.932151259597873,Erro Relevante,Variabilidade alta de escopo ou outlier em Horas Executadas
3.7,10.758999517834761,7.058999517834761,190.78377075229082,Erro Relevante,Variabilidade alta de escopo ou outlier em Horas Executadas
4.0,13.195348486651268,9.195348486651268,229.8837121662817,Erro Relevante,Variabilidade alta de escopo ou outlier em Horas Executadas
36.0,24.987342490070578,11.012657509929422,30.590715305359506,Erro Relevante,Variabilidade alta de escopo ou outlier em Horas Executadas
14.0,0.981888247741444,13.018111752258555,92.98651251613254,Erro Relevante,Variabilidade alta de escopo ou outlier em Horas Executadas
